Designator,Mid X,Mid Y,Rotation,Layer
C1,168.7711,-85.6586,270.0,top
C10,164.9611,-89.4686,0.0,top
C2,160.4011,-84.4246,180.0,top
C3,127.1151,-109.7886,270.0,top
C4,127.1271,-113.3806,270.0,top
C5,143.6371,-113.3806,270.0,top
C6,143.6371,-110.0786,270.0,top
C7,161.1511,-97.0886,270.0,top
C8,174.5011,-97.4286,270.0,top
C9,165.7351,-102.1686,0.0,top
D1,188.936,-131.6794,180.0,top
D2,188.936,-124.0594,180.0,top
D3,188.9506,-126.5994,180.0,top
D4,188.936,-121.5194,180.0,top
D5,188.936,-129.1394,180.0,top
JMP_VCC_INTERN0,174.8791,-85.9436,180.0,top
PICO0,130.292725,-88.546,90.0,top
Q1,160.7311,-121.5086,180.0,top
Q2,168.3511,-120.2386,90.0,top
Q3,165.8111,-85.9486,270.0,top
Q4,165.8111,-97.3786,0.0,top
R1,127.7111,-104.9986,0.0,top
R10,185.0271,-129.1394,0.0,top
R11,169.6211,-97.3786,270.0,top
R12,140.4111,-117.6986,0.0,top
R13,135.3311,-117.6986,0.0,top
R14,118.8211,-104.9986,0.0,top
R15,123.9011,-104.9986,0.0,top
R16,140.4111,-104.9986,0.0,top
R17,135.3311,-104.9986,0.0,top
R18,123.9011,-117.6986,0.0,top
R19,118.8211,-117.6986,0.0,top
R2,156.9211,-121.5086,270.0,top
R3,156.9211,-117.6986,90.0,top
R4,174.3711,-119.7306,180.0,top
R5,174.3711,-121.7626,180.0,top
R6,185.0271,-124.0594,0.0,top
R7,185.0271,-131.6794,0.0,top
R8,185.0271,-126.5994,0.0,top
R9,185.0271,-121.5194,0.0,top
S1,165.8111,-78.8366,180.0,top
S_RST0,109.3471,-125.0646,0.0,top
TP_1V8,189.9411,-89.7586,0.0,top
TP_3V3,189.9411,-84.6786,0.0,top
TP_5V0,189.9411,-79.5986,0.0,top
TP_GLITCH_EN0,189.9411,-111.3486,0.0,top
TP_GND0,189.9411,-94.8386,0.0,top
TP_RESET0,189.9411,-106.2686,0.0,top
TP_TRIGGER2,189.9411,-116.4286,0.0,top
TP_VTARGET0,189.9411,-99.9186,0.0,top
U1,137.8711,-111.3486,180.0,top
U2,121.3611,-111.3486,180.0,top
X1,172.0117,-129.1286,0.0,top
X2,155.5017,-129.0552,0.0,top
X3,108.158106,-110.5716,0.0,top
X_1V8,182.3061,-89.7586,90.0,top
X_3V3,182.3061,-84.6786,90.0,top
X_5V0,182.3061,-79.5986,90.0,top
X_ANALOG0,146.7611,-130.3986,0.0,top
X_GLITCH0,108.6611,-130.3986,0.0,top
X_GLITCH1,121.3611,-130.3986,0.0,top
X_GLITCH2,163.2711,-130.3986,0.0,top
X_GLITCH_EN0,182.3061,-111.3486,90.0,top
X_GND0,182.3061,-94.8386,90.0,top
X_HPGLITCH2,140.4111,-130.3986,0.0,top
X_LPGLITCH2,134.0611,-130.3986,0.0,top
X_RESET0,182.3061,-106.2686,90.0,top
X_TRIGGER0,115.0111,-130.3986,0.0,top
X_TRIGGER1,127.7111,-130.3986,0.0,top
X_TRIGGER2,182.3061,-116.4286,90.0,top
X_VCC_EXTERN0,174.8791,-79.5986,0.0,top
X_VTARGET0,182.3061,-99.9186,90.0,top
